product_id,product_name,actual_price,discounted_price,discounted_amount,discount_percentage,category,subcategory,rating,rating_count,ranking
B0BN2576GQ,"C (DEVICE) Lint Remover for Woolen Clothes, Electric Lint Remover, Best Lint Shaver for Clothes Pack of 1",19.19,5.63,13.560000000000002,0.71,Home & Kitchen,Kitchen & Home Appliances,3.7,6.0,Good
B06XPYRWV5,Pigeon by Stovekraft 2 Slice Auto Pop up Toaster. A Smart Bread Toaster for Your Home (750 Watt) (black),21.54,13.19,8.35,0.39,Home & Kitchen,Kitchen & Home Appliances,4.2,4244.0,Very Good
B01N1XVVLC,"Bajaj OFR Room Heater, 13 Fin 2900 Watts Oil Filled Room Heater with 400W PTC Ceramic Fan Heater, ISI Approved (Majesty 13F Plus Black)",191.99,115.08,76.91000000000001,0.4,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,1017.0,Very Good
B00O2R38C4,"Luminous Vento Deluxe 150 mm Exhaust Fan for Kitchen, Bathroom with Strong Air Suction, Rust Proof Body and Dust Protection Shutters (2-Year Warranty, White)",17.88,11.99,5.889999999999999,0.33,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,12999.0,Very Good
B0B2CZTCL2,"Wipro Vesta 1.8 litre Cool touch electric Kettle with Auto cut off | Double Layer outer body | Triple Protection - Dry Boil, Steam & Over Heat |Stainless Steel Inner Body | (Black, 1500 Watt)",23.99,15.59,8.399999999999999,0.35,Home & Kitchen,Kitchen & Home Appliances,3.8,311.0,Good
B00PVT30YI,"Kitchen Mart Stainless Steel South Indian Filter Coffee Drip Maker, Madras Kappi, Drip Decotion Maker160ml (2 Cup)",5.99,3.5,2.49,0.41,Home & Kitchen,Kitchen & Home Appliances,4.1,4238.0,Very Good
B00SH18114,"Ikea 903.391.72 Polypropylene Plastic Solid Bevara Sealing Clip (Multicolour) - 30 Pack, Adjustable",3.59,1.92,1.67,0.46,Home & Kitchen,Kitchen & Home Appliances,4.6,2781.0,Very Good
B00E9G8KOY,HUL Pureit Germkill kit for Classic 23 L water purifier - 1500 L Capacity,7.2,7.2,0.0,0.0,Home & Kitchen,Kitchen & Home Appliances,4.1,10907.0,Very Good
B00H3H03Q4,HUL Pureit Germkill kit for Classic 23 L water purifier - 3000 L Capacity,13.56,13.56,0.0,0.0,Home & Kitchen,Kitchen & Home Appliances,4.2,13250.0,Very Good
B0756K5DYZ,Prestige Iris 750 Watt Mixer Grinder with 3 Stainless Steel Jar + 1 Juicer Jar (White and Blue),75.54,38.99,36.550000000000004,0.48,Home & Kitchen,Kitchen & Home Appliances,3.9,43070.0,Good
B0188KPKB2,"Preethi Blue Leaf Diamond MG-214 mixer grinder 750 watt (Blue/White), 3 jars & Flexi Lid, FBT motor with 2yr Guarantee & Lifelong Free Service",113.46,43.19,70.27,0.62,Home & Kitchen,Kitchen & Home Appliances,4.1,11828.0,Very Good
B091KNVNS9,Themisto 350 Watts Egg Boiler-Blue,8.39,4.42,3.9700000000000006,0.47,Home & Kitchen,Kitchen & Home Appliances,4.1,1240.0,Very Good
B075JJ5NQC,"Butterfly Smart Mixer Grinder, 750W, 4 Jars (Grey)",59.99,38.39,21.6,0.36,Home & Kitchen,Kitchen & Home Appliances,4.0,20869.0,Very Good
B0B5KZ3C53,"KENT Smart Multi Cooker Cum Kettle 1.2 Liter 800 Watts, Electric Cooker with Steamer & Boiler for Idlis, Instant Noodles, Momos, Eggs, & Steam Vegetables, Inner Stainless Steel & Cool Touch Outer Body",34.8,19.19,15.609999999999996,0.45,Home & Kitchen,Kitchen & Home Appliances,3.7,441.0,Good
